(i.j.k),X-axis,Y-axis,Z-axis,V.x,V.y,V.z,crease(i+1/2.j),crease(I.j+1/2),x0,y0,z0,boomFlag,alphai0,alphaj0
(18.12.0),0.666616667,0.666666667,0,3.41E-13,-1.48E-12,-3.56E-10,0,3,0.666616667,0.666666667,0,0,3.141592654,3.141592654
(18.13.0),0.666616667,0.722222222,0,1.06E-12,-2.84E-12,-9.08E-10,0,0,0.666616667,0.722222222,0,0,3.141592654,3.141592654
(18.14.0),0.666616667,0.777777778,0,2.38E-12,-3.72E-12,-2.17E-09,0,0,0.666616667,0.777777778,0,0,3.141592654,3.141592654
(18.15.0),0.666616667,8.33E-01,0.00E+00,1.94E-12,3.43E-12,-1.40E-09,0,0,0.666616667,0.833333333,0,0,3.141592654,3.141592654
(18.16.0),0.666616667,0.888888889,0.00E+00,5.05E-13,1.68E-12,-4.46E-10,0,0,0.666616667,0.888888889,0,0,3.141592654,3.141592654
(18.17.0),0.666616667,0.944444444,0.00E+00,-4.67E-14,4.54E-13,-9.64E-11,0,0,0.666616667,0.944444444,0,0,3.141592654,3.141592654
(18.18.0),0.666616667,1,0,0,0,0,0,0,0.666616667,1,0,0,3.141592654,3.141592654
(19.0.0),0.666666667,0,0.00E+00,-4.99E-13,-3.15E-15,-9.82E-11,0,0,0.666666667,0,0,0,3.141592654,3.141592654
(19.1.0),0.666666667,0.055555556,0.00E+00,-1.27E-12,-2.27E-13,-2.87E-10,0,0,0.666666667,0.055555556,0,0,3.141592654,4.71238898
(19.2.0),0.666666667,0.111111111,0.00E+00,-1.95E-12,-4.18E-13,-4.96E-10,0,0,0.666666667,0.111111111,0,0,3.141592654,3.141592654
(19.3.0),0.666666667,0.166666667,0,-2.51E-12,-4.72E-13,-6.89E-10,0,0,0.666666667,0.166666667,0,0,3.141592654,3.141592654
(19.4.0),0.666666667,0.222222222,0.00E+00,-2.92E-12,-4.20E-13,-8.40E-10,0,0,0.666666667,0.222222222,0,0,3.141592654,3.141592654
(19.5.0),0.666666667,0.277777778,0.00E+00,-3.16E-12,-2.13E-13,-9.35E-10,0,0,0.666666667,0.277777778,0,0,3.141592654,1.570796327
(19.6.0),0.666666667,0.333333333,0.00E+00,-3.17E-12,-7.87E-17,-9.67E-10,0,1,0.666666667,0.333333333,0,1,3.141592654,3.141592654
(19.7.0),0.666666667,0.388888889,0,-3.06E-12,2.16E-13,-9.35E-10,0,1,0.666666667,0.388888889,0,0,3.141592654,3.141592654
(19.8.0),0.666666667,0.444444444,0,-2.90E-12,3.81E-13,-8.40E-10,0,1,0.666666667,0.444444444,0,0,3.141592654,3.141592654
(19.9.0),6.67E-01,5.00E-01,0,-2.51E-12,4.85E-13,-6.89E-10,0,1,0.666666667,0.5,0,0,3.141592654,3.141592654
(19.10.0),0.666666667,0.555555556,0,-1.95E-12,3.86E-13,-4.96E-10,0,1,0.666666667,0.555555556,0,0,3.141592654,3.141592654
(19.11.0),0.666666667,0.611111111,0,-1.28E-12,2.50E-13,-2.87E-10,0,1,0.666666667,0.611111111,0,0,3.141592654,3.141592654
(19.12.0),0.666666667,0.666666667,0,-5.04E-13,2.05E-14,-9.82E-11,0,1,0.666666667,0.666666667,0,1,3.141592654,1.570796327
(19.13.0),0.666666667,0.722222222,0,0,0,0,0,0,0.666666667,0.722222222,0,0,3.141592654,3.141592654
(19.14.0),0.666666667,0.777777778,0.00E+00,-5.98E-14,-4.83E-13,-9.64E-11,0,0,0.666666667,0.777777778,0,0,3.141592654,3.141592654
(19.15.0),0.666666667,0.833333333,0.00E+00,5.19E-13,-1.70E-12,-4.46E-10,0,0,0.666666667,0.833333333,0,0,3.141592654,3.141592654
(19.16.0),0.666666667,0.888888889,0.00E+00,1.94E-12,-3.39E-12,-1.40E-09,0,0,0.666666667,0.888888889,0,0,3.141592654,4.71238898
(19.17.0),0.666666667,9.44E-01,0.00E+00,1.05E-12,2.07E-12,-6.29E-10,0,0,0.666666667,0.944444444,0,0,3.141592654,3.141592654
(19.18.0),0.666666667,1,0.00E+00,-1.47E-13,4.16E-13,-8.87E-11,0,0,0.666666667,1,0,0,3.141592654,3.141592654
(20.0.0),0.666716667,0,0.00E+00,0,0,0,0,0,0.666716667,0,0,0,3.141592654,3.141592654
(20.1.0),0.666716667,0.055555556,0.00E+00,-5.00E-13,4.50E-14,-9.79E-11,0,0,0.666716667,0.055555556,0,0,3.141592654,3.141592654
(20.2.0),0.666716667,0.111111111,0.00E+00,-1.48E-12,-3.54E-13,-3.60E-10,0,0,0.666716667,0.111111111,0,0,3.141592654,3.141592654
(20.3.0),0.666716667,0.166666667,0.00E+00,-2.39E-12,-6.84E-13,-6.70E-10,0,0,0.666716667,0.166666667,0,0,3.141592654,3.141592654
(20.4.0),0.666716667,0.222222222,0.00E+00,-3.15E-12,-8.64E-13,-9.71E-10,0,0,0.666716667,0.222222222,0,0,3.141592654,3.141592654
(20.5.0),0.666716667,0.277777778,0.00E+00,-3.59E-12,-8.04E-13,-1.22E-09,0,0,0.666716667,0.277777778,0,0,3.141592654,3.141592654
(20.6.0),0.666716667,0.333333333,0.00E+00,-3.84E-12,-6.31E-13,-1.41E-09,0,3,0.666716667,0.333333333,0,0,3.141592654,3.141592654
(20.7.0),0.666716667,0.388888889,0,-3.93E-12,-3.40E-13,-1.52E-09,0,2,0.666716667,0.388888889,0,0,3.141592654,3.141592654
(20.8.0),0.666716667,0.444444444,0,-3.94E-12,7.03E-15,-1.56E-09,0,2,0.666716667,0.444444444,0,0,3.141592654,3.141592654
(20.9.0),0.666716667,0.5,0,-3.95E-12,3.85E-13,-1.52E-09,0,2,0.666716667,0.5,0,0,3.141592654,3.141592654
(20.10.0),0.666716667,0.555555556,0.00E+00,-3.81E-12,6.08E-13,-1.41E-09,0,2,0.666716667,0.555555556,0,0,3.141592654,3.141592654
(20.11.0),0.666716667,0.611111111,0.00E+00,-3.58E-12,8.32E-13,-1.22E-09,0,2,0.666716667,0.611111111,0,0,3.141592654,3.141592654
(20.12.0),0.666716667,0.666666667,0.00E+00,-3.15E-12,8.68E-13,-9.71E-10,0,3,0.666716667,0.666666667,0,0,3.141592654,3.141592654
(20.13.0),0.666716667,0.722222222,0.00E+00,-2.39E-12,7.23E-13,-6.70E-10,0,0,0.666716667,0.722222222,0,0,3.141592654,3.141592654
(20.14.0),0.666716667,0.777777778,0.00E+00,-1.49E-12,3.51E-13,-3.60E-10,0,0,0.666716667,0.777777778,0,0,3.141592654,3.141592654
(20.15.0),0.666716667,0.833333333,0.00E+00,-4.48E-13,-6.11E-14,-9.79E-11,0,0,0.666716667,0.833333333,0,0,3.141592654,3.141592654
(20.16.0),0.666716667,0.888888889,0.00E+00,0,0,0,0,0,0.666716667,0.888888889,0,0,3.141592654,3.141592654
(20.17.0),0.666716667,0.944444444,0.00E+00,-9.23E-14,-3.93E-13,-8.87E-11,0,0,0.666716667,0.944444444,0,0,3.141592654,3.141592654
(20.18.0),0.666716667,1,0,1.02E-12,-2.06E-12,-6.29E-10,0,0,0.666716667,1,0,0,3.141592654,3.141592654
(21.0.0),0.722222222,0.00E+00,0,-6.40E-14,3.88E-13,-9.45E-11,0,0,0.722222222,0,0,0,3.141592654,4.71238898
(21.1.0),0.722222222,0.055555556,0,0,0,0,0,0,0.722222222,0.055555556,0,0,3.141592654,3.141592654
(21.2.0),0.722222222,0.111111111,0,-4.12E-13,8.94E-14,-9.04E-11,0,0,0.722222222,0.111111111,0,0,3.141592654,3.141592654
(21.3.0),0.722222222,0.166666667,0.00E+00,-1.71E-12,-5.42E-13,-4.52E-10,0,0,0.722222222,0.166666667,0,0,3.141592654,3.141592654
(21.4.0),0.722222222,0.222222222,0.00E+00,-2.93E-12,-1.12E-12,-9.16E-10,0,0,0.722222222,0.222222222,0,0,3.141592654,1.570796327
(21.5.0),0.722222222,0.277777778,0.00E+00,-3.70E-12,-1.45E-12,-1.38E-09,0,0,0.722222222,0.277777778,0,1,3.141592654,3.141592654
(21.6.0),0.722222222,0.333333333,0,-4.04E-12,-1.47E-12,-1.76E-09,0,0,0.722222222,0.333333333,0,0,3.141592654,3.141592654
(21.7.0),0.722222222,0.388888889,0,-4.15E-12,-1.24E-12,-2.06E-09,0,0,0.722222222,0.388888889,0,0,3.141592654,3.141592654
(21.8.0),7.22E-01,4.44E-01,0,-4.07E-12,-8.81E-13,-2.25E-09,0,0,0.722222222,0.444444444,0,0,3.141592654,3.141592654
(21.9.0),0.722222222,0.5,0,-4.06E-12,-4.72E-13,-2.36E-09,0,0,0.722222222,0.5,0,0,3.141592654,3.141592654
(21.10.0),0.722222222,0.555555556,0,-4.04E-12,2.53E-14,-2.40E-09,0,0,0.722222222,0.555555556,0,0,3.141592654,3.141592654
(21.11.0),0.722222222,0.611111111,0,-4.04E-12,4.83E-13,-2.36E-09,0,0,0.722222222,0.611111111,0,0,3.141592654,1.570796327
(21.12.0),0.722222222,0.666666667,0,-4.07E-12,9.06E-13,-2.25E-09,0,0,0.722222222,0.666666667,0,0,3.141592654,3.141592654
(21.13.0),0.722222222,0.722222222,0.00E+00,-4.17E-12,1.26E-12,-2.06E-09,0,0,0.722222222,0.722222222,0,1,3.141592654,3.141592654
(21.14.0),0.722222222,0.777777778,0.00E+00,-4.08E-12,1.48E-12,-1.76E-09,0,0,0.722222222,0.777777778,0,0,3.141592654,3.141592654
(21.15.0),0.722222222,0.833333333,0.00E+00,-3.73E-12,1.40E-12,-1.38E-09,0,0,0.722222222,0.833333333,0,0,3.141592654,4.71238898
(21.16.0),0.722222222,0.888888889,0.00E+00,-2.94E-12,1.16E-12,-9.16E-10,0,0,0.722222222,0.888888889,0,0,3.141592654,3.141592654
(21.17.0),0.722222222,0.944444444,0.00E+00,-1.71E-12,4.88E-13,-4.52E-10,0,0,0.722222222,0.944444444,0,0,3.141592654,3.141592654
(21.18.0),0.722222222,1,0.00E+00,-3.85E-13,-6.47E-14,-9.04E-11,0,0,0.722222222,1,0,0,3.141592654,3.141592654
(22.0.0),0.777777778,0,0,0,0,0,0,0,0.777777778,0,0,0,1.570796327,1.570796327
(22.1.0),0.777777778,0.055555556,0.00E+00,-7.68E-14,-3.87E-13,-9.45E-11,0,0,0.777777778,0.055555556,0,0,1.570796327,3.141592654
(22.2.0),0.777777778,0.111111111,0.00E+00,0,0,0,0,0,0.777777778,0.111111111,0,0,1.570796327,3.141592654
(22.3.0),0.777777778,0.166666667,0.00E+00,-3.90E-13,7.74E-14,-9.51E-11,0,0,0.777777778,0.166666667,0,0,1.570796327,3.141592654
(22.4.0),0.777777778,0.222222222,0.00E+00,-2.06E-12,-1.04E-12,-6.36E-10,0,0,0.777777778,0.222222222,0,1,1.570796327,3.141592654
(22.5.0),0.777777778,0.277777778,0.00E+00,-3.47E-12,-2.01E-12,-1.41E-09,0,0,0.777777778,0.277777778,0,0,1.570796327,3.141592654
(22.6.0),0.777777778,0.333333333,0,-3.74E-12,-2.37E-12,-2.19E-09,0,0,0.777777778,0.333333333,0,0,1.570796327,3.141592654
(22.7.0),0.777777778,0.388888889,0,-3.17E-12,-2.23E-12,-2.80E-09,0,0,0.777777778,0.388888889,0,0,1.570796327,3.141592654
(22.8.0),0.777777778,0.444444444,0,-2.31E-12,-1.87E-12,-3.20E-09,0,0,0.777777778,0.444444444,0,0,1.570796327,3.141592654
(22.9.0),0.777777778,0.5,0.00E+00,-1.59E-12,-1.41E-12,-3.43E-09,0,0,0.777777778,0.5,0,0,1.570796327,3.141592654
(22.10.0),7.78E-01,0.555555556,0,-1.17E-12,-9.61E-13,-3.54E-09,0,0,0.777777778,0.555555556,0,0,1.570796327,3.141592654
(22.11.0),0.777777778,0.611111111,0,-9.40E-13,-4.69E-13,-3.59E-09,0,0,0.777777778,0.611111111,0,0,1.570796327,3.141592654
(22.12.0),0.777777778,0.666666667,0.00E+00,-9.03E-13,1.08E-14,-3.60E-09,0,0,0.777777778,0.666666667,0,0,1.570796327,3.141592654
(22.13.0),0.777777778,0.722222222,0.00E+00,-9.55E-13,4.93E-13,-3.59E-09,0,0,0.777777778,0.722222222,0,0,1.570796327,3.141592654
(22.14.0),0.777777778,0.777777778,0,-1.18E-12,9.39E-13,-3.54E-09,0,0,0.777777778,0.777777778,0,1,1.570796327,1.570796327
(22.15.0),0.777777778,0.833333333,0.00E+00,-1.61E-12,1.39E-12,-3.43E-09,0,0,0.777777778,0.833333333,0,0,3.141592654,3.141592654
(22.16.0),0.777777778,0.888888889,0.00E+00,-2.28E-12,1.84E-12,-3.20E-09,0,0,0.777777778,0.888888889,0,0,3.141592654,3.141592654
(22.17.0),0.777777778,0.944444444,0,-3.14E-12,2.28E-12,-2.80E-09,0,0,0.777777778,0.944444444,0,0,3.141592654,3.141592654
(22.18.0),0.777777778,1,0,-3.71E-12,2.38E-12,-2.19E-09,0,0,0.777777778,1,0,0,3.141592654,4.71238898
(23.0.0),0.833283333,0,0.00E+00,-3.48E-12,2.05E-12,-1.41E-09,0,0,0.833283333,0,0,0,3.141592654,3.141592654
(23.1.0),0.833283333,0.055555556,0.00E+00,-2.07E-12,1.05E-12,-6.36E-10,0,0,0.833283333,0.055555556,0,0,3.141592654,3.141592654
(23.2.0),0.833283333,0.111111111,0.00E+00,-3.92E-13,-7.41E-14,-9.51E-11,0,0,0.833283333,0.111111111,0,0,3.141592654,3.141592654
(23.3.0),0.833283333,0.166666667,0.00E+00,0,0,0,0,3,0.833283333,0.166666667,0,0,3.141592654,1.570796327
(23.4.0),0.833283333,0.222222222,0.00E+00,,,,0,2,0.833283333,0.222222222,0,0,3.141592654,3.141592654
(23.5.0),0.833283333,0.277777778,0.00E+00,,,,0,2,0.833283333,0.277777778,0,0,3.141592654,3.141592654
(23.6.0),0.833283333,0.333333333,0.00E+00,,,,0,2,0.833283333,0.333333333,0,0,3.141592654,3.141592654
(23.7.0),0.833283333,3.89E-01,0.00E+00,,,,0,2,0.833283333,0.388888889,0,0,3.141592654,3.141592654
(23.8.0),0.833283333,0.444444444,0,,,,0,2,0.833283333,0.444444444,0,0,3.141592654,3.141592654
(23.9.0),0.833283333,0.5,0,,,,0,2,0.833283333,0.5,0,0,3.141592654,3.141592654
(23.10.0),0.833283333,0.555555556,0,,,,0,2,0.833283333,0.555555556,0,0,3.141592654,1.570796327
(23.11.0),0.833283333,0.611111111,0.00E+00,,,,0,2,0.833283333,0.611111111,0,0,3.141592654,3.141592654
(23.12.0),0.833283333,0.666666667,0.00E+00,,,,0,2,0.833283333,0.666666667,0,0,3.141592654,3.141592654
(23.13.0),0.833283333,0.722222222,0.00E+00,,,,0,2,0.833283333,0.722222222,0,0,3.141592654,3.141592654
(23.14.0),0.833283333,0.777777778,0.00E+00,,,,0,2,0.833283333,0.777777778,0,0,3.141592654,4.71238898
(23.15.0),0.833283333,0.833333333,0.00E+00,,,,0,3,0.833283333,0.833333333,0,0,3.141592654,3.141592654
(23.16.0),0.833283333,0.888888889,0.00E+00,,,,0,0,0.833283333,0.888888889,0,0,3.141592654,3.141592654
(23.17.0),0.833283333,0.944444444,0.00E+00,,,,0,0,0.833283333,0.944444444,0,0,3.141592654,3.141592654
(23.18.0),0.833283333,1,0.00E+00,,,,0,0,0.833283333,1,0,0,3.141592654,1.570796327
(24.0.0),0.833333333,0,0.00E+00,,,,0,0,0.833333333,0,0,0,3.141592654,3.141592654
(24.1.0),0.833333333,0.055555556,0,,,,0,0,0.833333333,0.055555556,0,0,3.141592654,3.141592654
(24.2.0),0.833333333,0.111111111,0,,,,0,0,0.833333333,0.111111111,0,0,3.141592654,3.141592654
(24.3.0),0.833333333,0.166666667,0,,,,0,1,0.833333333,0.166666667,0,1,3.141592654,3.141592654
(24.4.0),0.833333333,0.222222222,0.00E+00,,,,0,1,0.833333333,0.222222222,0,0,3.141592654,3.141592654
(24.5.0),0.833333333,0.277777778,0.00E+00,,,,0,1,0.833333333,0.277777778,0,0,3.141592654,3.141592654
(24.6.0),0.833333333,0.333333333,0.00E+00,,,,0,1,0.833333333,0.333333333,0,0,3.141592654,3.141592654
(24.7.0),0.833333333,0.388888889,0,,,,0,1,0.833333333,0.388888889,0,0,3.141592654,3.141592654
(24.8.0),0.833333333,0.444444444,0,,,,0,1,0.833333333,0.444444444,0,0,3.141592654,3.141592654
(24.9.0),0.833333333,0.5,0.00E+00,,,,0,1,0.833333333,0.5,0,0,3.141592654,3.141592654
(24.10.0),0.833333333,0.555555556,0.00E+00,,,,0,1,0.833333333,0.555555556,0,0,3.141592654,3.141592654
(24.11.0),0.833333333,0.611111111,0.00E+00,,,,0,1,0.833333333,0.611111111,0,0,3.141592654,3.141592654
(24.12.0),0.833333333,0.666666667,0.00E+00,,,,0,1,0.833333333,0.666666667,0,0,3.141592654,3.141592654
(24.13.0),0.833333333,0.722222222,0.00E+00,,,,0,1,0.833333333,0.722222222,0,0,3.141592654,1.570796327
(24.14.0),0.833333333,0.777777778,0.00E+00,,,,0,1,0.833333333,0.777777778,0,0,3.141592654,3.141592654
(24.15.0),0.833333333,0.833333333,0.00E+00,,,,0,1,0.833333333,0.833333333,0,1,3.141592654,3.141592654
(24.16.0),0.833333333,0.888888889,0,,,,0,0,0.833333333,0.888888889,0,0,3.141592654,3.141592654
(24.17.0),0.833333333,0.944444444,0,,,,0,0,0.833333333,0.944444444,0,0,3.141592654,4.71238898
(24.18.0),0.833333333,1,0,,,,0,0,0.833333333,1,0,0,3.141592654,3.141592654
(25.0.0),0.833383333,0,0,,,,0,0,0.833383333,0,0,0,3.141592654,3.141592654
(25.1.0),0.833383333,0.055555556,0.00E+00,,,,0,0,0.833383333,0.055555556,0,0,3.141592654,3.141592654
(25.2.0),0.833383333,0.111111111,0.00E+00,,,,0,0,0.833383333,0.111111111,0,0,3.141592654,1.570796327
(25.3.0),0.833383333,0.166666667,0.00E+00,,,,0,3,0.833383333,0.166666667,0,0,3.141592654,3.141592654
(25.4.0),0.833383333,0.222222222,0,,,,0,2,0.833383333,0.222222222,0,0,3.141592654,3.141592654
(25.5.0),0.833383333,0.277777778,0,,,,0,2,0.833383333,0.277777778,0,0,3.141592654,3.141592654
(25.6.0),8.33E-01,3.33E-01,0,,,,0,2,0.833383333,0.333333333,0,0,3.141592654,3.141592654
(25.7.0),0.833383333,0.388888889,0,,,,0,2,0.833383333,0.388888889,0,0,3.141592654,3.141592654
(25.8.0),0.833383333,0.444444444,0,,,,0,2,0.833383333,0.444444444,0,0,3.141592654,3.141592654
(25.9.0),0.833383333,0.5,0,,,,0,2,0.833383333,0.5,0,0,3.141592654,1.570796327
(25.10.0),0.833383333,0.555555556,0,,,,0,2,0.833383333,0.555555556,0,0,3.141592654,3.141592654
(25.11.0),0.833383333,0.611111111,0.00E+00,,,,0,2,0.833383333,0.611111111,0,0,3.141592654,3.141592654
(25.12.0),0.833383333,0.666666667,0,,,,0,2,0.833383333,0.666666667,0,0,3.141592654,3.141592654
(25.13.0),0.833383333,0.722222222,0,,,,0,2,0.833383333,0.722222222,0,0,3.141592654,4.71238898
(25.14.0),0.833383333,0.777777778,0,,,,0,2,0.833383333,0.777777778,0,0,3.141592654,3.141592654
(25.15.0),0.833383333,0.833333333,0,,,,0,3,0.833383333,0.833333333,0,0,3.141592654,3.141592654
(25.16.0),0.833383333,0.888888889,0.00E+00,,,,0,0,0.833383333,0.888888889,0,0,3.141592654,3.141592654
(25.17.0),0.833383333,0.944444444,0.00E+00,,,,0,0,0.833383333,0.944444444,0,0,3.141592654,1.570796327
(25.18.0),0.833383333,1,0.00E+00,,,,0,0,0.833383333,1,0,0,3.141592654,3.141592654
(26.0.0),0.888888889,0,0,,,,0,0,0.888888889,0,0,0,3.141592654,3.141592654
(26.1.0),0.888888889,0.055555556,0.00E+00,,,,0,0,0.888888889,0.055555556,0,0,3.141592654,3.141592654
(26.2.0),0.888888889,0.111111111,0.00E+00,,,,0,0,0.888888889,0.111111111,0,1,3.141592654,3.141592654
(26.3.0),0.888888889,0.166666667,0.00E+00,,,,0,0,0.888888889,0.166666667,0,0,3.141592654,3.141592654
(26.4.0),0.888888889,0.222222222,0,,,,0,0,0.888888889,0.222222222,0,0,3.141592654,3.141592654
(26.5.0),0.888888889,0.277777778,0,,,,0,0,0.888888889,0.277777778,0,0,3.141592654,3.141592654
(26.6.0),0.888888889,0.333333333,0,,,,0,0,0.888888889,0.333333333,0,0,3.141592654,3.141592654
(26.7.0),0.888888889,0.388888889,0.00E+00,,,,0,0,0.888888889,0.388888889,0,0,3.141592654,3.141592654
(26.8.0),0.888888889,0.444444444,0.00E+00,,,,0,0,0.888888889,0.444444444,0,0,3.141592654,3.141592654
(26.9.0),0.888888889,0.5,0.00E+00,,,,0,0,0.888888889,0.5,0,0,3.141592654,3.141592654
(26.10.0),0.888888889,0.555555556,0,,,,0,0,0.888888889,0.555555556,0,0,3.141592654,3.141592654
(26.11.0),0.888888889,0.611111111,0.00E+00,,,,0,0,0.888888889,0.611111111,0,0,3.141592654,3.141592654
(26.12.0),0.888888889,0.666666667,0.00E+00,,,,0,0,0.888888889,0.666666667,0,0,3.141592654,1.570796327
(26.13.0),0.888888889,0.722222222,0.00E+00,,,,0,0,0.888888889,0.722222222,0,0,3.141592654,3.141592654
(26.14.0),0.888888889,0.777777778,0,,,,0,0,0.888888889,0.777777778,0,0,3.141592654,3.141592654
(26.15.0),0.888888889,0.833333333,0,,,,0,0,0.888888889,0.833333333,0,0,3.141592654,3.141592654
(26.16.0),0.888888889,0.888888889,0,,,,0,0,0.888888889,0.888888889,0,1,3.141592654,4.71238898
(26.17.0),0.888888889,0.944444444,0,,,,0,0,0.888888889,0.944444444,0,0,3.141592654,3.141592654
(26.18.0),0.888888889,1,0,,,,0,0,0.888888889,1,0,0,3.141592654,3.141592654
(27.0.0),0.944444444,0,0.00E+00,,,,0,0,0.944444444,0,0,0,3.141592654,3.141592654
(27.1.0),0.944444444,0.055555556,0.00E+00,,,,0,0,0.944444444,0.055555556,0,1,3.141592654,1.570796327
(27.2.0),0.944444444,0.111111111,0.00E+00,,,,0,0,0.944444444,0.111111111,0,0,3.141592654,3.141592654
(27.3.0),0.944444444,0.166666667,0,,,,0,0,0.944444444,0.166666667,0,0,3.141592654,3.141592654
(27.4.0),0.944444444,0.222222222,0,,,,0,0,0.944444444,0.222222222,0,0,3.141592654,3.141592654
(27.5.0),9.44E-01,2.78E-01,0,,,,0,0,0.944444444,0.277777778,0,0,3.141592654,3.141592654
(27.6.0),0.944444444,0.333333333,0,,,,0,0,0.944444444,0.333333333,0,0,3.141592654,3.141592654
(27.7.0),0.944444444,0.388888889,0,,,,0,0,0.944444444,0.388888889,0,0,3.141592654,3.141592654
(27.8.0),0.944444444,0.444444444,0,,,,0,0,0.944444444,0.444444444,0,0,3.141592654,1.570796327
(27.9.0),0.944444444,0.5,0,,,,0,0,0.944444444,0.5,0,0,3.141592654,3.141592654
(27.10.0),0.944444444,0.555555556,0.00E+00,,,,0,0,0.944444444,0.555555556,0,0,3.141592654,3.141592654
(27.11.0),0.944444444,0.611111111,0,,,,0,0,0.944444444,0.611111111,0,0,3.141592654,3.141592654
(27.12.0),0.944444444,0.666666667,0,,,,0,0,0.944444444,0.666666667,0,0,3.141592654,4.71238898
(27.13.0),0.944444444,0.722222222,0,,,,0,0,0.944444444,0.722222222,0,0,3.141592654,3.141592654
(27.14.0),0.944444444,0.777777778,0,,,,0,0,0.944444444,0.777777778,0,0,3.141592654,3.141592654
(27.15.0),0.944444444,0.833333333,0.00E+00,,,,0,0,0.944444444,0.833333333,0,0,3.141592654,3.141592654
(27.16.0),0.944444444,0.888888889,0.00E+00,,,,0,0,0.944444444,0.888888889,0,0,3.141592654,1.570796327
(27.17.0),0.944444444,0.944444444,0.00E+00,,,,0,0,0.944444444,0.944444444,0,1,3.141592654,3.141592654
(27.18.0),0.944444444,1,0.00E+00,,,,0,0,0.944444444,1,0,0,3.141592654,3.141592654
(28.0.0),1,0,0.00E+00,,,,0,0,1,0,0,1,3.141592654,3.141592654
(28.1.0),1,0.055555556,0.00E+00,,,,0,0,1,0.055555556,0,0,3.141592654,3.141592654
(28.2.0),1,0.111111111,0.00E+00,,,,0,0,1,0.111111111,0,0,3.141592654,3.141592654
(28.3.0),1,0.166666667,0.00E+00,,,,0,0,1,0.166666667,0,0,3.141592654,3.141592654
(28.4.0),1,0.222222222,0,,,,0,0,1,0.222222222,0,0,3.141592654,3.141592654
(28.5.0),1,0.277777778,0.00E+00,,,,0,0,1,0.277777778,0,0,3.141592654,3.141592654
(28.6.0),1,0.333333333,0.00E+00,,,,0,0,1,0.333333333,0,0,3.141592654,3.141592654
(28.7.0),1,0.388888889,0.00E+00,,,,0,0,1,0.388888889,0,0,3.141592654,3.141592654
(28.8.0),1,0.444444444,0.00E+00,,,,0,0,1,0.444444444,0,0,3.141592654,3.141592654
(28.9.0),1,0.5,0.00E+00,,,,0,0,1,0.5,0,0,3.141592654,3.141592654
(28.10.0),1,0.555555556,0,,,,0,0,1,0.555555556,0,0,3.141592654,3.141592654
(28.11.0),1,0.611111111,0,,,,0,0,1,0.611111111,0,0,3.141592654,1.570796327
(28.12.0),1,0.666666667,0,,,,0,0,1,0.666666667,0,0,3.141592654,3.141592654
(28.13.0),1,0.722222222,0,,,,0,0,1,0.722222222,0,0,3.141592654,3.141592654
(28.14.0),1,0.777777778,0,,,,0,0,1,0.777777778,0,0,3.141592654,3.141592654
(28.15.0),1,0.833333333,0,,,,0,0,1,0.833333333,0,0,3.141592654,4.71238898
(28.16.0),1,0.888888889,0,,,,0,0,1,0.888888889,0,0,3.141592654,3.141592654
(28.17.0),1,0.944444444,0,,,,0,0,1,0.944444444,0,0,3.141592654,3.141592654
(28.18.0),1,1,0.00E+00,,,,0,0,1,1,0,1,3.141592654,3.141592654
